backend,executor,solver-p,preconditioner,number_of_iterations,resolution,processes,run_time,success
OF,reference,CG,none,0,8,1,0.119594,1
OF,reference,CG,none,0,8,1,0.114329,1
OF,reference,CG,none,0,8,1,0.11149,1
OF,reference,CG,none,0,8,1,0.11413,1
OF,reference,CG,none,0,8,1,0.112208,1
OF,reference,CG,none,0,8,1,0.112876,1
OF,reference,CG,none,0,8,1,0.111793,1
OF,reference,CG,none,0,8,1,0.113921,1
OF,reference,CG,none,0,8,1,0.112993,1
OF,reference,CG,none,0,8,1,0.113881,1
OF,reference,CG,none,0,8,1,0.114019,1
OF,reference,CG,none,0,8,1,0.115211,1
OF,reference,CG,none,0,8,1,0.113625,1
OF,reference,CG,none,0,8,1,0.112601,1
OF,reference,CG,none,0,8,1,0.113337,1
OF,reference,CG,none,0,8,1,0.112647,1
OF,reference,CG,none,0,8,1,0.112557,1
OF,reference,CG,none,0,8,1,0.113104,1
OF,reference,CG,none,0,8,1,0.114619,1
OF,reference,CG,none,0,8,1,0.11193,1
OF,reference,CG,none,0,8,1,0.110323,1
OF,reference,CG,none,0,8,1,0.114264,1
OF,reference,CG,none,0,8,1,0.11406,1
OF,reference,CG,none,0,8,1,0.113001,1
OF,reference,CG,none,0,8,1,0.111768,1
OF,reference,CG,none,0,8,1,0.114276,1
OF,reference,CG,none,0,8,1,0.112703,1
OF,reference,CG,none,0,8,1,0.112096,1
OF,reference,CG,none,0,8,1,0.11478,1
OF,reference,CG,none,0,8,1,0.110987,1
OF,reference,CG,none,0,8,1,0.112504,1
OF,reference,CG,none,0,8,1,0.117802,1
OF,reference,CG,none,0,8,1,0.119117,1
OF,reference,CG,none,0,8,1,0.114278,1
OF,reference,CG,none,0,8,1,0.113665,1
OF,reference,CG,none,0,8,1,0.115226,1
OF,reference,CG,none,0,8,1,0.114714,1
OF,reference,CG,none,0,8,1,0.113426,1
OF,reference,CG,none,0,8,1,0.112036,1
OF,reference,CG,none,0,8,1,0.118008,1
OF,reference,CG,none,0,8,1,0.114428,1
OF,reference,CG,none,0,8,1,0.112861,1
OF,reference,CG,none,0,8,1,0.11412,1
OF,reference,CG,none,0,8,1,0.114254,1
OF,reference,CG,none,0,8,1,0.114271,1
OF,reference,CG,none,0,8,1,0.113652,1
OF,reference,CG,none,0,8,1,0.11363,1
OF,reference,CG,none,0,8,1,0.11278,1
OF,reference,CG,none,0,8,1,0.112949,1
OF,reference,CG,none,0,8,1,0.113571,1
OF,reference,CG,none,0,8,1,0.115052,1
OF,reference,CG,none,0,8,1,0.112614,1
OF,reference,CG,none,0,8,1,0.114296,1
OF,reference,CG,none,0,8,1,0.113198,1
OF,reference,CG,none,0,8,1,0.113735,1
OF,reference,CG,none,0,8,1,0.113622,1
OF,reference,CG,none,0,8,1,0.115448,1
OF,reference,CG,none,0,8,1,0.112315,1
OF,reference,CG,none,0,8,1,0.112577,1
OF,reference,CG,none,0,8,1,0.114526,1
OF,reference,CG,none,0,8,1,0.113374,1
OF,reference,CG,none,0,8,1,0.113093,1
OF,reference,CG,none,0,8,1,0.110968,1
OF,reference,CG,none,0,8,1,0.118843,1
OF,reference,CG,none,0,8,1,0.118714,1
OF,reference,CG,none,0,8,1,0.115247,1
OF,reference,CG,none,0,8,1,0.112358,1
OF,reference,CG,none,0,8,1,0.117603,1
OF,reference,CG,none,0,8,1,0.115135,1
OF,reference,CG,none,0,8,1,0.115072,1
OF,reference,CG,none,0,8,1,0.114351,1
OF,reference,CG,none,0,8,1,0.113243,1
OF,reference,CG,none,0,8,1,0.116511,1
OF,reference,CG,none,0,8,1,0.115186,1
OF,reference,CG,none,0,8,1,0.114609,1
OF,reference,CG,none,0,8,1,0.112893,1
OF,reference,CG,none,0,8,1,0.11267,1
OF,reference,CG,none,0,8,1,0.114864,1
OF,reference,CG,none,0,8,1,0.11401,1
OF,reference,CG,none,0,8,1,0.114026,1
OF,reference,CG,none,0,8,1,0.112983,1
OF,reference,CG,none,0,8,1,0.11449,1
OF,reference,CG,none,0,8,1,0.113624,1
OF,reference,CG,none,0,8,1,0.115195,1
OF,reference,CG,none,0,8,1,0.114069,1
OF,reference,CG,none,0,8,1,0.116313,1
OF,reference,CG,none,0,8,1,0.115977,1
OF,reference,CG,none,0,8,1,0.114251,1
OF,reference,CG,none,0,8,1,0.111621,1
OF,reference,CG,none,0,8,1,0.113282,1
OF,reference,CG,none,0,8,1,0.114298,1
OF,reference,CG,none,0,8,1,0.11147,1
OF,reference,CG,none,0,8,1,0.120002,1
OF,reference,CG,none,0,8,1,0.119184,1
OF,reference,CG,none,0,8,1,0.114919,1
OF,reference,CG,none,0,8,1,0.112212,1
OF,reference,CG,none,0,8,1,0.115889,1
OF,reference,CG,none,0,8,1,0.114735,1
OF,reference,CG,none,0,8,1,0.115367,1
OF,reference,CG,none,0,8,1,0.112397,1
OF,reference,CG,none,0,8,1,0.116038,1
OF,reference,CG,none,0,8,1,0.113415,1
OF,reference,CG,none,0,8,1,0.11451,1
OF,reference,CG,none,0,8,1,0.112776,1
OF,reference,CG,none,0,8,1,0.112574,1
OF,reference,CG,none,0,8,1,0.113417,1
OF,reference,CG,none,0,8,1,0.113799,1
OF,reference,CG,none,0,8,1,0.113174,1
OF,reference,CG,none,0,8,1,0.115534,1
OF,reference,CG,none,0,8,1,0.112965,1
OF,reference,CG,none,0,8,1,0.11429,1
OF,reference,CG,none,0,8,1,0.115853,1
OF,reference,CG,none,0,8,1,0.114801,1
OF,reference,CG,none,0,8,1,0.113014,1
OF,reference,CG,none,0,8,1,0.116425,1
OF,reference,CG,none,0,8,1,0.115387,1
OF,reference,CG,none,0,8,1,0.11444,1
OF,reference,CG,none,0,8,1,0.111471,1
OF,reference,CG,none,0,8,1,0.113063,1
OF,reference,CG,none,0,8,1,0.113433,1
OF,reference,CG,none,0,8,1,0.112972,1
OF,reference,CG,none,0,8,1,0.114655,1
OF,reference,CG,none,0,8,1,0.114045,1
OF,reference,CG,none,0,8,1,0.113644,1
OF,reference,CG,none,0,8,1,0.119806,1
OF,reference,CG,none,0,8,1,0.122011,1
OF,reference,CG,none,0,8,1,0.114022,1
OF,reference,CG,none,0,8,1,0.112457,1
OF,reference,CG,none,0,8,1,0.116215,1
OF,reference,CG,none,0,8,1,0.113745,1
OF,reference,CG,none,0,8,1,0.111688,1
OF,reference,CG,none,0,8,1,0.113335,1
OF,reference,CG,none,0,8,1,0.113058,1
OF,reference,CG,none,0,8,1,0.111089,1
OF,reference,CG,none,0,8,1,0.114328,1
OF,reference,CG,none,0,8,1,0.113252,1
OF,reference,CG,none,0,8,1,0.112863,1
OF,reference,CG,none,0,8,1,0.111438,1
OF,reference,CG,none,0,8,1,0.110361,1
OF,reference,CG,none,0,8,1,0.114277,1
OF,reference,CG,none,0,8,1,0.115799,1
OF,reference,CG,none,0,8,1,0.115997,1
OF,reference,CG,none,0,8,1,0.113369,1
OF,reference,CG,none,0,8,1,0.115093,1
OF,reference,CG,none,0,8,1,0.116002,1
OF,reference,CG,none,0,8,1,0.11074,1
OF,reference,CG,none,0,8,1,0.114756,1
OF,reference,CG,none,0,8,1,0.110087,1
OF,reference,CG,none,0,8,1,0.112895,1
OF,reference,CG,none,0,8,1,0.113177,1
OF,reference,CG,none,0,8,1,0.114109,1
OF,reference,CG,none,0,8,1,0.111127,1
OF,reference,CG,none,0,8,1,0.113169,1
OF,reference,CG,none,0,8,1,0.113556,1
OF,reference,CG,none,0,8,1,0.112123,1
OF,reference,CG,none,0,8,1,0.112701,1
OF,reference,CG,none,0,8,1,0.119478,1
OF,reference,CG,none,0,8,1,0.116745,1
OF,reference,CG,none,0,8,1,0.113753,1
OF,reference,CG,none,0,8,1,0.11349,1
OF,reference,CG,none,0,8,1,0.114247,1
OF,reference,CG,none,0,8,1,0.112843,1
OF,reference,CG,none,0,8,1,0.111909,1
OF,reference,CG,none,0,8,1,0.114753,1
OF,reference,CG,none,0,8,1,0.115532,1
OF,reference,CG,none,0,8,1,0.110808,1
OF,reference,CG,none,0,8,1,0.112158,1
OF,reference,CG,none,0,8,1,0.112595,1
OF,reference,CG,none,0,8,1,0.11381,1
OF,reference,CG,none,0,8,1,0.114829,1
OF,reference,CG,none,0,8,1,0.11247,1
OF,reference,CG,none,0,8,1,0.111848,1
OF,reference,CG,none,0,8,1,0.116415,1
OF,reference,CG,none,0,8,1,0.116267,1
OF,reference,CG,none,0,8,1,0.113043,1
OF,reference,CG,none,0,8,1,0.115913,1
OF,reference,CG,none,0,8,1,0.112501,1
OF,reference,CG,none,0,8,1,0.115261,1
OF,reference,CG,none,0,8,1,0.111357,1
OF,reference,CG,none,0,8,1,0.114859,1
OF,reference,CG,none,0,8,1,0.113715,1
OF,reference,CG,none,0,8,1,0.115664,1
OF,reference,CG,none,0,8,1,0.116275,1
OF,reference,CG,none,0,8,1,0.113375,1
OF,reference,CG,none,0,8,1,0.111229,1
