backend,executor,solver-p,solver-U,preconditioner,number_of_iterations,resolution,processes,run_time,success
OF,reference,CG,BiCGStab,none,0,8,1,0.118909,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111791,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114897,1
OF,reference,CG,BiCGStab,none,0,8,1,0.119312,1
OF,reference,CG,BiCGStab,none,0,8,1,0.11831,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112992,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114586,1
OF,reference,CG,BiCGStab,none,0,8,1,0.121867,1
OF,reference,CG,BiCGStab,none,0,8,1,0.11792,1
OF,reference,CG,BiCGStab,none,0,8,1,0.115267,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114402,1
OF,reference,CG,BiCGStab,none,0,8,1,0.1154,1
OF,reference,CG,BiCGStab,none,0,8,1,0.117928,1
OF,reference,CG,BiCGStab,none,0,8,1,0.120583,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112777,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112394,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112447,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112887,1
OF,reference,CG,BiCGStab,none,0,8,1,0.119305,1
OF,reference,CG,BiCGStab,none,0,8,1,0.121628,1
OF,reference,CG,BiCGStab,none,0,8,1,0.118933,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114479,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113841,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113592,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114075,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113828,1
OF,reference,CG,BiCGStab,none,0,8,1,0.11146,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112884,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112662,1
OF,reference,CG,BiCGStab,none,0,8,1,0.12255,1
OF,reference,CG,BiCGStab,none,0,8,1,0.118393,1
OF,reference,CG,BiCGStab,none,0,8,1,0.119421,1
OF,reference,CG,BiCGStab,none,0,8,1,0.118632,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114634,1
OF,reference,CG,BiCGStab,none,0,8,1,0.115091,1
OF,reference,CG,BiCGStab,none,0,8,1,0.117246,1
OF,reference,CG,BiCGStab,none,0,8,1,0.12259,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111864,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113153,1
OF,reference,CG,BiCGStab,none,0,8,1,0.118379,1
OF,reference,CG,BiCGStab,none,0,8,1,0.120068,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113786,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112617,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114347,1
OF,reference,CG,BiCGStab,none,0,8,1,0.119907,1
OF,reference,CG,BiCGStab,none,0,8,1,0.121175,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114774,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114905,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113038,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114862,1
OF,reference,CG,BiCGStab,none,0,8,1,0.115027,1
OF,reference,CG,BiCGStab,none,0,8,1,0.120014,1
OF,reference,CG,BiCGStab,none,0,8,1,0.118107,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114509,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111844,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114543,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113759,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114021,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113741,1
OF,reference,CG,BiCGStab,none,0,8,1,0.117689,1
OF,reference,CG,BiCGStab,none,0,8,1,0.121333,1
OF,reference,CG,BiCGStab,none,0,8,1,0.12166,1
OF,reference,CG,BiCGStab,none,0,8,1,0.120066,1
OF,reference,CG,BiCGStab,none,0,8,1,0.120762,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111981,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112633,1
OF,reference,CG,BiCGStab,none,0,8,1,0.118912,1
OF,reference,CG,BiCGStab,none,0,8,1,0.117259,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112294,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112999,1
OF,reference,CG,BiCGStab,none,0,8,1,0.123129,1
OF,reference,CG,BiCGStab,none,0,8,1,0.119059,1
OF,reference,CG,BiCGStab,none,0,8,1,0.115297,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112851,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114822,1
OF,reference,CG,BiCGStab,none,0,8,1,0.122057,1
OF,reference,CG,BiCGStab,none,0,8,1,0.11694,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112505,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113485,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112368,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112732,1
OF,reference,CG,BiCGStab,none,0,8,1,0.110906,1
OF,reference,CG,BiCGStab,none,0,8,1,0.117074,1
OF,reference,CG,BiCGStab,none,0,8,1,0.121525,1
OF,reference,CG,BiCGStab,none,0,8,1,0.110573,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113619,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114269,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113259,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114493,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114573,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114886,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112781,1
OF,reference,CG,BiCGStab,none,0,8,1,0.118709,1
OF,reference,CG,BiCGStab,none,0,8,1,0.121499,1
OF,reference,CG,BiCGStab,none,0,8,1,0.119194,1
OF,reference,CG,BiCGStab,none,0,8,1,0.119305,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112987,1
OF,reference,CG,BiCGStab,none,0,8,1,0.11373,1
OF,reference,CG,BiCGStab,none,0,8,1,0.120447,1
OF,reference,CG,BiCGStab,none,0,8,1,0.116976,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112056,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111388,1
OF,reference,CG,BiCGStab,none,0,8,1,0.1171,1
OF,reference,CG,BiCGStab,none,0,8,1,0.116856,1
OF,reference,CG,BiCGStab,none,0,8,1,0.115805,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113029,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111226,1
OF,reference,CG,BiCGStab,none,0,8,1,0.118762,1
OF,reference,CG,BiCGStab,none,0,8,1,0.118928,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113452,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114965,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112493,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114814,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112955,1
OF,reference,CG,BiCGStab,none,0,8,1,0.118454,1
OF,reference,CG,BiCGStab,none,0,8,1,0.116548,1
OF,reference,CG,BiCGStab,none,0,8,1,0.11356,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111207,1
