executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,maxBlockSize,innerReductionFactor,processes,log_id,setup_time,run_time,number_iterations_p,number_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'uc2n520.localdomain\n', 'top': ['top - 17:12:15 up 59 days,  5:43,  0 users,  load average: 0.22, 0.07, 0.02', 'Tasks: 1293 total,   1 running, 1292 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.1 sy,  0.0 ni, 99.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 386622.4 total, 368689.5 free,  13512.4 used,   4420.5 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used. 370553.0 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '   2767 root      20   0       0      0      0 S   5.9   0.0  20:14.81 nv_queue', '1687177 nq7776    20   0   56900   5584   3596 R   5.9   0.0   0:00.02 top', '      1 root      20   0  253792  12188   8288 S   0.0   0.0   0:47.78 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:16.79 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-kblockd', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq'], 'uptime': ' 17:12:15 up 59 days,  5:43,  0 users,  load average: 0.22, 0.07, 0.02\n', 'libOGL.so': '089d390e214ef084611b0ef5270cce11  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.1'}
CUDA,CG,ILU,3,1,0,uc2n520.localdomain,None,None,1,e0866975d4114370d1dcad8e2b22c77b,13.245317,51.453402,0.0,72.0,122079.0,1089493.0,6916242.0,32704516.0
CUDA,CG,BJ,1,1,0,uc2n520.localdomain,16,None,1,1eba0ed863545f1f052692bf9d0f6841,1.576809,2.617801,0.0,72.0,4699.0,41181.0,1020375.0,1594281.0
CUDA,CG,BJ,1,1,0,uc2n520.localdomain,8,None,1,737b9101ef68ad8760faac9d0db4d7ad,1.577407,2.594795,0.0,72.0,4534.0,39704.0,1008196.0,1584876.0
CUDA,CG,BJ,1,1,0,uc2n520.localdomain,2,None,1,9aee6f88d71f66adefe95e71edfdb4d2,1.582482,2.592709,0.0,72.0,4636.0,39661.0,1010726.0,1585099.0
CUDA,CG,BJ,1,1,0,uc2n520.localdomain,4,None,1,c426a977cc79d72c3866341a1663929a,1.572666,2.601629,0.0,72.0,4603.0,39497.0,1010890.0,1587717.0
CUDA,CG,BJ,1,1,0,uc2n520.localdomain,1,None,1,30e961bffe5a7f3186889d764a5b398e,1.565731,2.602169,0.0,72.0,4578.0,40049.0,1005522.0,1582462.0
CUDA,CG,NoPrecond,1,1,0,uc2n520.localdomain,None,None,1,01828338dc85d4b8ba6f612e013aca73,1.642035,3.718502,0.0,72.0,4548.0,39226.0,1079389.0,2595981.0
CUDA,IR,NoPrecond,1,1,0,uc2n520.localdomain,None,0.1,1,d29e118780382212d1b720204545568f,1.622109,4.35385,0.0,72.0,4761.0,40037.0,1058896.0,3131699.0
CUDA,IR,NoPrecond,1,1,0,uc2n520.localdomain,None,0.01,1,d014fadff9c398097d30f1f28ce55778,1.694352,4.136466,0.0,72.0,4550.0,39714.0,1124930.0,2974505.0
CUDA,IR,NoPrecond,1,1,0,uc2n520.localdomain,None,0.05,1,9da7c792249dee70ea67516a77845b40,1.645706,3.577625,0.0,72.0,4651.0,40051.0,1085120.0,2451757.0
CUDA,IR,NoPrecond,1,1,0,uc2n520.localdomain,None,0.001,1,32d911576a982815bc45656401cc83a8,1.830342,5.017568,0.0,72.0,4552.0,39140.0,1262763.0,3788212.0
CUDA,CG,ILU,1,1,0,uc2n520.localdomain,None,None,1,5b7051250d319df4b8a83f346fae9d8e,1.568237,2.823929,0.0,72.0,4759.0,43643.0,1017275.0,1770344.0
