backend,executor,solver-p,preconditioner,resolution,processes,run_time,success,number_of_iterations
OF,reference,CG,none,8,1,0.118206,1,614
OF,reference,CG,none,8,1,0.119713,1,614
OF,reference,CG,none,8,1,0.116371,1,614
OF,reference,CG,none,8,1,0.113203,1,614
OF,reference,CG,none,8,1,0.119309,1,614
OF,reference,CG,none,8,1,0.117455,1,614
OF,reference,CG,none,8,1,0.117398,1,614
OF,reference,CG,none,8,1,0.125156,1,614
OF,reference,CG,none,8,1,0.118298,1,614
OF,reference,CG,none,8,1,0.115497,1,614
OF,reference,CG,none,8,1,0.117065,1,614
OF,reference,CG,none,8,1,0.116279,1,614
OF,reference,CG,none,8,1,0.119342,1,614
OF,reference,CG,none,8,1,0.123866,1,614
OF,reference,CG,none,8,1,0.118443,1,614
OF,reference,CG,none,8,1,0.116145,1,614
OF,reference,CG,none,8,1,0.114133,1,614
OF,reference,CG,none,8,1,0.118791,1,614
OF,reference,CG,none,8,1,0.118143,1,614
OF,reference,CG,none,8,1,0.116235,1,614
OF,reference,CG,none,8,1,0.117604,1,614
OF,reference,CG,none,8,1,0.118066,1,614
OF,reference,CG,none,8,1,0.114729,1,614
OF,reference,CG,none,8,1,0.119666,1,614
OF,reference,CG,none,8,1,0.122076,1,614
OF,reference,CG,none,8,1,0.118667,1,614
OF,reference,CG,none,8,1,0.117842,1,614
OF,reference,CG,none,8,1,0.130337,1,614
OF,reference,CG,none,8,1,0.112762,1,614
OF,reference,CG,none,8,1,0.116744,1,614
OF,reference,CG,none,8,1,0.120724,1,614
OF,reference,CG,none,8,1,0.116933,1,614
OF,reference,CG,none,8,1,0.116158,1,614
OF,reference,CG,none,8,1,0.120672,1,614
OF,reference,CG,none,8,1,0.119304,1,614
OF,reference,CG,none,8,1,0.11251,1,614
OF,reference,CG,none,8,1,0.116888,1,614
OF,reference,CG,none,8,1,0.11861,1,614
OF,reference,CG,none,8,1,0.116964,1,614
OF,reference,CG,none,8,1,0.123376,1,614
OF,reference,CG,none,8,1,0.116905,1,614
OF,reference,CG,none,8,1,0.117223,1,614
OF,reference,CG,none,8,1,0.119355,1,614
OF,reference,CG,none,8,1,0.115621,1,614
OF,reference,CG,none,8,1,0.117051,1,614
OF,reference,CG,none,8,1,0.119799,1,614
OF,reference,CG,none,8,1,0.119577,1,614
OF,reference,CG,none,8,1,0.119296,1,614
OF,reference,CG,none,8,1,0.117818,1,614
OF,reference,CG,none,8,1,0.116946,1,614
OF,reference,CG,none,8,1,0.125624,1,614
OF,reference,CG,none,8,1,0.114689,1,614
OF,reference,CG,none,8,1,0.116378,1,614
OF,reference,CG,none,8,1,0.117897,1,614
OF,reference,CG,none,8,1,0.1136,1,614
OF,reference,CG,none,8,1,0.127469,1,614
OF,reference,CG,none,8,1,0.120596,1,614
OF,reference,CG,none,8,1,0.114718,1,614
OF,reference,CG,none,8,1,0.117677,1,614
OF,reference,CG,none,8,1,0.114409,1,614
OF,reference,CG,none,8,1,0.116439,1,614
OF,reference,CG,none,8,1,0.112685,1,614
OF,reference,CG,none,8,1,0.127301,1,614
OF,reference,CG,none,8,1,0.116211,1,614
OF,reference,CG,none,8,1,0.11859,1,614
OF,reference,CG,none,8,1,0.119188,1,614
OF,reference,CG,none,8,1,0.11759,1,614
OF,reference,CG,none,8,1,0.116347,1,614
OF,reference,CG,none,8,1,0.120609,1,614
OF,reference,CG,none,8,1,0.116916,1,614
