executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,innerReductionFactor,maxBlockSize,log_id,setup_time,run_time,number_iterations_p,number_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
OMP,BiCGStab,BJ,5,4,0,uc2n407.localdomain,1,None,None,bbca8f27d7e7386fd742943d0b60d4f0,0.098798,0.120657,198.0,135.0,199.0,1006.0,7190.0,26173.0
OMP,IR,NoPrecond,5,4,0,uc2n407.localdomain,1,0.1,None,fe873646062d75fe43fc78f2478846a3,0.107085,0.137394,64.0,135.0,218.0,1034.0,9356.0,39585.0
OMP,IR,NoPrecond,5,4,0,uc2n407.localdomain,1,0.01,None,5807ea7ce0348ed2e2d88c96c5556520,0.098846,0.130603,36.0,135.0,247.0,1070.0,8129.0,32140.0
OMP,IR,NoPrecond,5,4,0,uc2n407.localdomain,1,0.05,None,74633f9ed596ab621ccb40a74639ea7e,0.098957,0.128412,51.0,135.0,192.0,1046.0,9211.0,36870.0
OMP,IR,NoPrecond,5,4,0,uc2n407.localdomain,1,0.001,None,ffa28b9778f88527a581e6b5c6098450,0.101882,0.130247,26.0,135.0,234.0,1201.0,8490.0,35541.0
OMP,CG,ILU,15,4,0,uc2n407.localdomain,1,None,None,a796717e0fbef7c34527b4110ea95dee,0.153745,0.281219,592.0,135.0,2512.0,18160.0,41145.0,127176.0
OMP,BiCGStab,ILU,15,4,0,uc2n407.localdomain,1,None,None,2c6f108b0fb5e6035580bf8c9fb1cd5b,0.160941,0.328558,432.0,135.0,2481.0,18286.0,49206.0,176206.0
OMP,CG,NoPrecond,15,4,0,uc2n407.localdomain,1,None,None,0bf2df521bb67cedf4c989fc4d9214c6,0.15535,0.352992,1882.0,135.0,2373.0,18515.0,53263.0,192086.0
OMP,CG,BJ,15,4,0,uc2n407.localdomain,1,None,16,6d5f2794ea22583262f6aae72aa893a3,0.158913,0.395441,1590.0,135.0,2374.0,18479.0,55412.0,237425.0
OMP,CG,BJ,15,4,0,uc2n407.localdomain,1,None,8,1a7c3ca88fb6b8e2492821fd4b3301a1,0.155459,0.352926,1599.0,135.0,2508.0,18869.0,53393.0,201449.0
OMP,CG,BJ,15,4,0,uc2n407.localdomain,1,None,2,99741ec2373d18b67bb350ec994b598d,0.155839,0.328913,1606.0,135.0,2486.0,18641.0,47702.0,177070.0
OMP,CG,BJ,15,4,0,uc2n407.localdomain,1,None,4,4cb3089abbbbbbd2ccc92f0a0d7bcbbb,0.157069,0.338402,1593.0,135.0,2452.0,18560.0,49164.0,181364.0
OMP,CG,BJ,15,4,0,uc2n407.localdomain,1,None,1,5cf5e52f467e666b365d2ca284dca068,0.158244,0.324402,1732.0,135.0,2416.0,18132.0,45394.0,169633.0
OMP,BiCGStab,NoPrecond,15,4,0,uc2n407.localdomain,1,None,None,1afe7777696a165118bbb170391754a4,0.169242,0.42289,1462.0,135.0,2499.0,18234.0,69053.0,272393.0
OMP,BiCGStab,BJ,15,4,0,uc2n407.localdomain,1,None,None,b1e3fa2b91f1d87459d803c624d9074c,0.160396,0.429578,1111.0,135.0,2363.0,17757.0,60626.0,285702.0
OMP,IR,NoPrecond,15,4,0,uc2n407.localdomain,1,0.1,None,d4dadbd43f1682d309ef4bf45167c5f4,0.161465,0.362795,82.0,135.0,2296.0,17774.0,56025.0,214375.0
OMP,IR,NoPrecond,15,4,0,uc2n407.localdomain,1,0.01,None,a2b410f8a58de6299a452c46aead3a01,0.15065,0.348234,43.0,135.0,2343.0,18194.0,47657.0,195806.0
OMP,IR,NoPrecond,15,4,0,uc2n407.localdomain,1,0.05,None,76aebbf59ee467dc5eb41408419c632a,0.152416,0.354463,64.0,135.0,2309.0,18400.0,50819.0,203877.0
OMP,IR,NoPrecond,15,4,0,uc2n407.localdomain,1,0.001,None,a1f1a148f0c9bc54dd9e42db98218821,0.154756,0.355704,35.0,135.0,2288.0,18134.0,49696.0,208528.0
OMP,CG,ILU,90,4,0,uc2n407.localdomain,1,None,None,91486981fc982b1e73830bdeb90cc2c6,24.261813,140.475465,4244.0,135.0,748487.0,6262653.0,19587675.0,113951906.0
OMP,CG,ILU,90,4,0,uc2n407.localdomain,1,None,None,9605f04e60503d4a2a2f681bbea4a82e,24.19981,140.392249,4244.0,135.0,744113.0,6224858.0,19352020.0,113709278.0
OMP,BiCGStab,ILU,90,4,0,uc2n407.localdomain,1,None,None,f91ec00f50255faabfd0e4db43a064b1,30.448146,203.869886,3263.0,135.0,740514.0,6195274.0,25815838.0,172052197.0
OMP,BiCGStab,ILU,90,4,0,uc2n407.localdomain,1,None,None,394defb74388b0ef608877d4dbe8c597,30.570795,203.639761,3268.0,135.0,739353.0,6149558.0,25841462.0,171479812.0
OMP,CG,NoPrecond,90,4,0,uc2n407.localdomain,1,None,None,35fe49da2983373a3a89dee3ee93f015,27.556907,175.126466,13372.0,135.0,739463.0,6242754.0,22795092.0,145081013.0
OMP,CG,NoPrecond,90,4,0,uc2n407.localdomain,1,None,None,7406df7004599c5d1656235dc418d113,27.464479,176.048894,13372.0,135.0,748834.0,6261494.0,22592509.0,145607341.0
OMP,CG,BJ,90,4,0,uc2n407.localdomain,1,None,16,4ec487e2f19938a2213ecbbcca49436c,36.067537,244.779681,11043.0,135.0,737384.0,6158677.0,30033153.0,208051617.0
OMP,CG,BJ,90,4,0,uc2n407.localdomain,1,None,16,f57dfd9b06ec8a292b641e411bbf0baa,36.339861,251.361109,11043.0,135.0,776980.0,6324826.0,31375287.0,213803872.0
OMP,CG,BJ,90,4,0,uc2n407.localdomain,1,None,8,439ccd6d2083389bae85149d11308a07,31.620756,206.556086,11092.0,135.0,762842.0,6301180.0,27133963.0,173368622.0
OMP,CG,BJ,90,4,0,uc2n407.localdomain,1,None,8,687578ae4862dd719a9b54ee278643a0,32.044877,209.202573,11092.0,135.0,738739.0,6484393.0,26846087.0,175576324.0
OMP,CG,BJ,90,4,0,uc2n407.localdomain,1,None,2,da8eb3f0a24393b4bc0850bd5485978d,29.411919,183.655049,12051.0,135.0,759402.0,6351881.0,24642427.0,151771105.0
OMP,CG,BJ,90,4,0,uc2n407.localdomain,1,None,2,d5983185e9abe9e5c4c6e46973eb0429,29.816156,181.688909,12051.0,135.0,783533.0,6332406.0,24869094.0,150886098.0
OMP,CG,BJ,90,4,0,uc2n407.localdomain,1,None,4,eb4aae7999595ed2bdd4bac5236d4af5,27.797516,185.942872,11264.0,135.0,740254.0,6550369.0,24213967.0,154386319.0
OMP,CG,BJ,90,4,0,uc2n407.localdomain,1,None,4,a94c2b2b9d91dcabea08ef36edf59e1f,29.524444,184.994007,11264.0,135.0,773960.0,6249651.0,24986549.0,153900665.0
