executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,innerReductionFactor,processes,maxBlockSize,log_id,setup_time,run_time,number_iterations_p,number_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'uc2n451.localdomain\n', 'top': ['top - 17:39:21 up 48 days,  3:47,  0 users,  load average: 17.26, 14.82, 13.82', 'Tasks: 1035 total,   2 running, 1033 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  1.3 us,  0.1 sy,  0.0 ni, 98.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem :  96318.7 total,  77317.1 free,  15739.1 used,   3262.5 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used.  79696.7 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', ' 831110 rx9600    20   0   14.7g  10.6g  11240 R 100.0  11.2  56622:56 python3', '   2576 munge     20   0  252296   4028   1624 S   6.2   0.0  10:22.65 munged', '1265849 nq7776    20   0   56636   5292   3568 R   6.2   0.0   0:00.02 top', '      1 root      20   0  253340   7744   4344 S   0.0   0.0   2:29.75 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:36.02 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+'], 'uptime': ' 17:39:21 up 48 days,  3:47,  0 users,  load average: 17.26, 14.82, 13.82\n', 'libOGL.so': '50b691a38f547d5c18d95f8ff7dbe61f  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.1'}
OMP,CG,BJ,40,8,0,uc2n451.localdomain,None,1,4,13f1edcaa67dfee13036788c42c78a9f,1.564561,6.017061,4613.0,135.0,52536.0,430474.0,927307.0,4295436.0
OMP,CG,BJ,40,8,0,uc2n451.localdomain,None,1,1,f994411142733bcb9d90f86c537d74c2,1.478831,5.641157,5305.0,135.0,52605.0,480133.0,921259.0,4004399.0
OMP,BiCGStab,NoPrecond,40,8,0,uc2n451.localdomain,None,1,None,c993d760a3663e474fca49552ab8b0f4,1.706581,7.49581,4010.0,135.0,57331.0,447541.0,1327569.0,5730732.0
OMP,BiCGStab,BJ,40,8,0,uc2n451.localdomain,None,1,None,d325456bc989f74cf629071af117cf52,2.17405,8.610342,3119.0,135.0,53289.0,461626.0,1378752.0,7026324.0
OMP,IR,NoPrecond,40,8,0,uc2n451.localdomain,0.1,1,None,7066badc6a136fa87e943260d75bfac7,2.009683,6.575128,91.0,135.0,58964.0,431520.0,1263996.0,4859272.0
OMP,IR,NoPrecond,40,8,0,uc2n451.localdomain,0.01,1,None,184079241291b18a9c58c4db1f07f9fb,1.525293,6.652647,50.0,135.0,52388.0,436062.0,1157915.0,5020007.0
OMP,IR,NoPrecond,40,8,0,uc2n451.localdomain,0.05,1,None,898a64e3f10e9accd5953e556562e786,1.622102,6.305322,72.0,135.0,52024.0,465453.0,1000331.0,4668465.0
OMP,IR,NoPrecond,40,8,0,uc2n451.localdomain,0.001,1,None,db8746020c4d8abcf62deb78f1ad206b,1.622119,6.367956,37.0,135.0,66619.0,442138.0,1122407.0,4686097.0
OMP,CG,ILU,25,8,0,uc2n451.localdomain,None,1,None,8a324382223a42e12a7526ae55154119,0.417629,1.218195,1032.0,135.0,12229.0,100036.0,219781.0,779976.0
OMP,BiCGStab,ILU,25,8,0,uc2n451.localdomain,None,1,None,102461d15f3de90d78932de649cba3ac,0.439445,1.331511,754.0,135.0,11119.0,92503.0,223070.0,922624.0
OMP,CG,NoPrecond,25,8,0,uc2n451.localdomain,None,1,None,2b2a6d0eb15fc2837356bf2f019728ee,0.398544,1.339564,3249.0,135.0,11579.0,92483.0,226287.0,928076.0
OMP,CG,BJ,25,8,0,uc2n451.localdomain,None,1,16,b2e113851f964cf67904771d836629b5,0.450625,1.511778,2820.0,135.0,12608.0,100383.0,256605.0,1029578.0
OMP,CG,BJ,25,8,0,uc2n451.localdomain,None,1,8,c8dcd2be81f70d83279a1f6bb3848259,0.3903,1.258986,2823.0,135.0,11337.0,91911.0,213249.0,856006.0
OMP,CG,BJ,25,8,0,uc2n451.localdomain,None,1,2,7a455726da367eef265f193e2e041066,0.438129,1.303003,2839.0,135.0,11125.0,94154.0,225468.0,892791.0
OMP,CG,BJ,25,8,0,uc2n451.localdomain,None,1,4,b187d7539aa57b67cfe844c4f5e839ab,0.447319,1.249162,2799.0,135.0,12271.0,99791.0,225803.0,810450.0
OMP,CG,BJ,25,8,0,uc2n451.localdomain,None,1,1,b674b0ea3ab85c42f592a1e14e91b32b,0.364316,1.125308,3120.0,135.0,11292.0,92922.0,193831.0,732197.0
OMP,BiCGStab,NoPrecond,25,8,0,uc2n451.localdomain,None,1,None,5fa3e878968195a7cf860b02bb78a9b0,0.427027,1.519899,2505.0,135.0,11227.0,92892.0,245619.0,1093967.0
OMP,BiCGStab,BJ,25,8,0,uc2n451.localdomain,None,1,None,334fc00117694f0df6664f00b5156406,0.502468,1.703585,1930.0,135.0,12130.0,96059.0,301716.0,1276505.0
OMP,IR,NoPrecond,25,8,0,uc2n451.localdomain,0.1,1,None,3cd5f052221d5a0e1553d2ffd62a53b3,0.393649,1.230924,85.0,135.0,11294.0,92461.0,214939.0,827684.0
OMP,IR,NoPrecond,25,8,0,uc2n451.localdomain,0.01,1,None,deb160ca89912b769f5d825dbd7987e6,0.37864,1.470104,46.0,135.0,11801.0,101566.0,233855.0,1022489.0
OMP,IR,NoPrecond,25,8,0,uc2n451.localdomain,0.05,1,None,210fb43e972ae84978ef5080a24fb311,0.442872,1.26222,67.0,135.0,12028.0,96279.0,237208.0,832954.0
OMP,IR,NoPrecond,25,8,0,uc2n451.localdomain,0.001,1,None,9f32b67a1c6457b06f3de5e325a834ca,0.399332,1.619031,37.0,135.0,11129.0,93613.0,227094.0,1149506.0
OMP,CG,ILU,65,8,0,uc2n451.localdomain,None,1,None,cba8b05125798c4bbf6e48238a9286bd,8.167672,40.01258,2817.0,135.0,284697.0,2548553.0,6103260.0,30726057.0
OMP,BiCGStab,ILU,65,8,0,uc2n451.localdomain,None,1,None,4f6fa8c98e7fb9419fcc743d46d959bd,9.204556,46.530094,1998.0,135.0,263430.0,2247858.0,7182210.0,38767814.0
OMP,CG,NoPrecond,65,8,0,uc2n451.localdomain,None,1,None,128e281a45f56edfcb61e9d44f676e62,7.481199,38.467457,9231.0,135.0,264655.0,2343572.0,5777152.0,29696109.0
OMP,CG,BJ,65,8,0,uc2n451.localdomain,None,1,16,b8e86e2538e126f793e4cd5562889905,8.861774,48.205206,7507.0,135.0,260085.0,2281426.0,7310185.0,38363364.0
OMP,CG,BJ,65,8,0,uc2n451.localdomain,None,1,8,8dec70008d7002c90e6b8007f6200550,8.400128,57.536138,7799.0,135.0,275841.0,2571452.0,6535294.0,46258293.0
OMP,CG,BJ,65,8,0,uc2n451.localdomain,None,1,2,0e215d1286374cd3463dd722e7999431,7.8841,36.857572,7652.0,135.0,261627.0,2247540.0,5533002.0,28261634.0
OMP,CG,BJ,65,8,0,uc2n451.localdomain,None,1,4,f0fdcadbcc8ec3a9937a7ca2e6ad4bbf,8.091699,50.863679,7490.0,135.0,261570.0,2479693.0,5922309.0,40516728.0
OMP,CG,BJ,65,8,0,uc2n451.localdomain,None,1,1,78f833ab5f1ebce0291917e7f97da12d,7.421244,37.676339,9007.0,135.0,261916.0,2353688.0,5580789.0,28955768.0
OMP,BiCGStab,NoPrecond,65,8,0,uc2n451.localdomain,None,1,None,8c4e7a38ddc65b7d2873e05ee709d5f9,9.05128,57.120784,7549.0,135.0,259023.0,2195044.0,7325412.0,46342019.0
OMP,BiCGStab,BJ,65,8,0,uc2n451.localdomain,None,1,None,67117869c7a722b4c293d830a574992a,13.738223,67.105667,5601.0,135.0,262746.0,2296647.0,8754097.0,55841230.0
OMP,IR,NoPrecond,65,8,0,uc2n451.localdomain,0.1,1,None,ebdb28e27bc9161b3aaa65bfb810f927,8.902839,40.368618,100.0,135.0,282501.0,2225251.0,6874150.0,31413541.0
OMP,IR,NoPrecond,65,8,0,uc2n451.localdomain,0.01,1,None,d13a455ec0b5fce5ce05e43c2672bfe0,7.93532,40.659502,56.0,135.0,287074.0,2399985.0,5817789.0,31704119.0
OMP,IR,NoPrecond,65,8,0,uc2n451.localdomain,0.05,1,None,1e7c2cc9793d0dda38a64873348f413c,8.203503,54.660636,80.0,135.0,265758.0,2721607.0,6473385.0,42423500.0
OMP,IR,NoPrecond,65,8,0,uc2n451.localdomain,0.001,1,None,a2bcbd3cc0b12f5f6ee9e465ba9c3642,10.21719,39.229131,38.0,135.0,262645.0,2342125.0,6411337.0,30278438.0
