executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,log_id,setup_time,run_time,number_iterations_p,number_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'uc2n438.localdomain\n', 'top': ['top - 13:07:25 up 46 days, 15:35,  0 users,  load average: 21.68, 21.96, 23.94', 'Tasks: 1069 total,   5 running, 1064 sleeping,   0 stopped,   0 zombie', '%Cpu(s): 25.1 us,  1.3 sy,  0.0 ni, 73.5 id,  0.0 wa,  0.1 hi,  0.0 si,  0.0 st', 'MiB Mem :  96318.7 total,  48289.3 free,  30752.3 used,  17277.1 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used.  64679.6 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '3029990 st_ac10+  20   0 1047564  58352   3440 R  1159   0.1  36678:27 gmx', '3226262 fr_rf116  20   0 2681248   2.1g  14300 R 388.2   2.3   4889:43 hqme_ti+', '3229381 fr_rf116  20   0 2681248   2.1g  13780 R 388.2   2.3   4885:19 hqme_ti+', '3212718 ul_fbg16  20   0   22.4g  18.2g   3620 R  94.1  19.3   1338:13 python3', '3538789 nq7776    20   0   56636   5340   3620 R   5.9   0.0   0:00.03 top', '      1 root      20   0  253340   7720   4312 S   0.0   0.0   6:37.67 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:06.32 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp'], 'uptime': ' 13:07:25 up 46 days, 15:35,  0 users,  load average: 21.68, 21.96, 23.94\n', 'libOGL.so': 'fe504a78962a49cab92e9b4c549389b3  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.1'}
Serial,BiCGStab,DIC,30,1,0,uc2n438.localdomain,1,263f1fcce88f17b77b3ea1cebbe5f415,0.367243,1.556621,953.0,135.0,21209.0,171566.0,123545.0,928167.0
Serial,BiCGStab,NoPrecond,30,1,0,uc2n438.localdomain,1,8bb76911117e1b11ef895117f30178f0,0.466341,2.123116,2860.0,135.0,22766.0,169264.0,221914.0,1512646.0
Serial,CG,NoPrecond,30,1,0,uc2n438.localdomain,1,9b69b273ff6d81f16a28a57b4596648e,0.376564,1.660787,4069.0,135.0,20929.0,169235.0,125442.0,1028623.0
Serial,CG,DIC,70,1,0,uc2n438.localdomain,1,eb216b16f0104eec566f1f3b52699161,5.348676,36.414111,3172.0,135.0,367758.0,3067805.0,3060837.0,26465742.0
Serial,BiCGStab,DIC,70,1,0,uc2n438.localdomain,1,6ac6a17f4006d437f794fc5402ecb2c7,6.691909,40.426949,1764.0,135.0,363669.0,3009423.0,4409686.0,30326725.0
Serial,BiCGStab,NoPrecond,70,1,0,uc2n438.localdomain,1,33b2ba58121737d700bbca178018bb4d,10.66742,87.318206,7872.0,135.0,364688.0,3019311.0,8227927.0,72915049.0
Serial,CG,NoPrecond,70,1,0,uc2n438.localdomain,1,360d6516e593535a1a36b34ed8c25bb8,7.122012,53.437234,10007.0,135.0,362102.0,2985549.0,4811986.0,41952277.0
Serial,CG,DIC,100,1,0,uc2n438.localdomain,1,d9f9954756f4278f1d534bf52f66c92e,20.14754,150.388312,4648.0,135.0,1086652.0,9026494.0,13398286.0,117171273.0
Serial,BiCGStab,DIC,100,1,0,uc2n438.localdomain,1,2c95ffbca1d75e7c565eee71ee1b99e3,26.53834,206.34594,3376.0,135.0,1069839.0,8930482.0,20109753.0,167988822.0
Serial,BiCGStab,NoPrecond,100,1,0,uc2n438.localdomain,1,46de05c390ceea203bc0ee4ea8805ba5,46.264928,380.30393,11837.0,135.0,1069468.0,8782733.0,39528822.0,325957020.0
Serial,CG,NoPrecond,100,1,0,uc2n438.localdomain,1,1dfcceceaa6a6f0765c058f4a8b7d1cd,28.847105,236.619345,14597.0,135.0,1050515.0,8803909.0,21553311.0,195264897.0
Serial,CG,DIC,80,1,0,uc2n438.localdomain,1,0a1be5ef9f1556c0ceb55cf2a79a304b,8.616714,59.708646,3678.0,135.0,534140.0,4469689.0,5369077.0,46597106.0
