executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,innerReductionFactor,maxBlockSize,processes,log_id,setup_time,run_time,number_iterations_p,number_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'nla-gpu1.ianm.kit.edu\n', 'top': ['top - 09:07:04 up 7 days, 13:59,  1 user,  load average: 0.59, 0.49, 0.32', 'Tasks: 941 total,   1 running, 940 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.0 us,  0.3 sy,  0.0 ni, 99.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 515589.7 total, 506280.4 free,   3170.7 used,   6138.6 buff/cache', 'MiB Swap: 131072.0 total, 131072.0 free,      0.0 used. 509740.2 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '   2646 root      rt   0  705588 225840  93052 S   5.9   0.0  53:54.52 corosync', '3167826 greole    20   0   67228   7936   4788 S   5.9   0.0   0:00.60 zsh', '3181074 greole    25   5   66236   5932   4284 R   5.9   0.0   0:00.03 top', '      1 root      20   0  241640  14604   8864 S   0.0   0.0   0:04.90 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:00.37 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+'], 'uptime': ' 09:07:04 up 7 days, 13:59,  1 user,  load average: 0.59, 0.49, 0.32\n', 'libOGL.so': '341294933b6c36fc289f3b5de7561e29  /home/greole/OpenFOAM/greole-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.1'}
HIP,BiCGStab,BJ,80,None,0,nla-gpu1.ianm.kit.edu,None,None,1,843cace938bde0f1484b5816d834633f,10.272959,19.94675,6465.0,135.0,439303.0,3669227.0,6511203.0,10111270.0
HIP,BiCGStab,NoPrecond,80,None,0,nla-gpu1.ianm.kit.edu,None,None,1,0c3a6867c61d42d44ba53a9b7a452497,9.80937,20.247351,9565.0,135.0,441869.0,3673894.0,6154027.0,10140930.0
HIP,CG,ILU,80,None,0,nla-gpu1.ianm.kit.edu,None,None,1,3a175697aa84d8c1deacb7ea1c293e3e,10.098959,23.385562,3750.0,135.0,440199.0,3699073.0,6236183.0,13193078.0
HIP,CG,NoPrecond,80,None,0,nla-gpu1.ianm.kit.edu,None,None,1,3d55f6e5129ba76c3f659cba2cf1a2e8,9.844924,18.438501,11610.0,135.0,436601.0,3681323.0,6094661.0,8656533.0
HIP,BiCGStab,ILU,80,None,0,nla-gpu1.ianm.kit.edu,None,None,1,c022cddcbb16f381f5bcec192956a596,10.92004,26.739885,2570.0,135.0,438112.0,3696675.0,7159711.0,16539956.0
HIP,CG,BJ,5,None,0,nla-gpu1.ianm.kit.edu,None,2,1,de0baa54adc2b84398de71a727ea5bb8,0.801289,0.854928,470.0,135.0,204.0,1127.0,500908.0,539018.0
HIP,CG,BJ,5,None,0,nla-gpu1.ianm.kit.edu,None,16,1,9ee190b1a7ee3388f5a8ffdd9882f9dc,0.800153,0.850314,410.0,135.0,204.0,1122.0,500302.0,537085.0
HIP,CG,BJ,5,None,0,nla-gpu1.ianm.kit.edu,None,1,1,3866dadf7f47449245f5cf8fe3df1cf9,0.817239,0.850089,480.0,135.0,204.0,1085.0,506780.0,536494.0
HIP,CG,BJ,5,None,0,nla-gpu1.ianm.kit.edu,None,4,1,46cda42e43a0be26605bf0c220e87de0,0.793841,0.85152,470.0,135.0,189.0,1102.0,497155.0,534767.0
HIP,CG,BJ,5,None,0,nla-gpu1.ianm.kit.edu,None,8,1,c87afa3118a007fcc9b1791e472d34da,0.799995,0.834994,440.0,135.0,215.0,1082.0,495705.0,523809.0
HIP,IR,NoPrecond,5,None,0,nla-gpu1.ianm.kit.edu,0.05,None,1,2f246b99046a56a063a3ce96c6639d94,0.813409,1.211603,180.0,135.0,207.0,1112.0,512338.0,854145.0
HIP,IR,NoPrecond,5,None,0,nla-gpu1.ianm.kit.edu,0.01,None,1,ba39d11644d622c56760e870dfd52565,0.822672,1.345572,180.0,135.0,187.0,1119.0,526531.0,978451.0
HIP,IR,NoPrecond,5,None,0,nla-gpu1.ianm.kit.edu,0.1,None,1,d8167f30cdccf6ce7fc5c7215eed1fac,0.809124,1.132243,180.0,135.0,203.0,1209.0,506482.0,784292.0
