executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,processes,log_id,setup_time,run_time,number_iterations_p,number_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'uc2n367.localdomain\n', 'top': ['top - 11:11:09 up 63 days,  9:21,  0 users,  load average: 4.09, 5.25, 6.46', 'Tasks: 1135 total,   7 running, 1128 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  5.4 us,  0.2 sy,  0.0 ni, 94.4 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem :  96318.7 total,  87386.4 free,   5691.3 used,   3241.0 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used.  89745.3 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '4150232 tp6461    20   0 2546852 245760   9912 S  64.7   0.2 227:32.09 python3', '4174348 tp6461    20   0 2523800 284952   4620 R  41.2   0.3   4:29.57 python3', '4174341 tp6461    20   0 2523800 284716   4384 R  35.3   0.3   4:43.93 python3', '4174342 tp6461    20   0 2523800 284960   4628 R  35.3   0.3   4:43.94 python3', '4174344 tp6461    20   0 2523800 284952   4620 R  35.3   0.3   4:14.48 python3', '4174346 tp6461    20   0 2523800 284948   4616 R  35.3   0.3   4:57.83 python3', '4174347 tp6461    20   0 2523800 284952   4620 R  35.3   0.3   4:55.97 python3', '4174338 tp6461    20   0 2523800 284732   4400 S  29.4   0.3   4:05.84 python3'], 'uptime': ' 11:11:09 up 63 days,  9:21,  0 users,  load average: 4.09, 5.25, 6.46\n', 'libOGL.so': '805391b6a1fddb6a5dd5ab9acf7d3c9b  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.1'}
Serial,CG,DIC,25,1,0,uc2n367.localdomain,1,f402bf4626fec9e2459f5eb70737c3d9,0.229757,0.653607,1032.0,135.0,14628.0,99004.0,39784.0,285114.0
Serial,BiCGStab,DIC,25,1,0,uc2n367.localdomain,1,7fb447e5ea352698a55fbf3e28d4528a,0.215018,0.79183,759.0,135.0,11571.0,92623.0,56820.0,424078.0
Serial,BiCGStab,NoPrecond,25,1,0,uc2n367.localdomain,1,cbc7beec6e208502b6784b053f72d2d9,0.276532,1.108057,2413.0,135.0,13303.0,99589.0,105542.0,736807.0
Serial,CG,NoPrecond,25,1,0,uc2n367.localdomain,1,3f1c5a8fad7e8f653bc84f43a130df8b,0.230483,0.842173,3249.0,135.0,13284.0,97713.0,59343.0,469847.0
Serial,CG,DIC,65,1,0,uc2n367.localdomain,1,9e635de6bee600185a0aa7bbf2545f3b,4.487441,27.346289,2811.0,135.0,293616.0,2403400.0,2444708.0,19442728.0
Serial,BiCGStab,DIC,65,1,0,uc2n367.localdomain,1,30851177c85d6c3c94da268d4c1026b6,5.106342,38.232058,2081.0,135.0,283267.0,2583125.0,3774189.0,30046901.0
Serial,BiCGStab,NoPrecond,65,1,0,uc2n367.localdomain,1,aa89dd0ca4fd48bdbf8d12677a2d983d,8.711248,66.561774,7038.0,135.0,320332.0,2480376.0,7113039.0,54673866.0
Serial,CG,NoPrecond,65,1,0,uc2n367.localdomain,1,615ef12cc5d885e20cc274937433117a,6.048852,41.054185,9223.0,135.0,296570.0,2381388.0,4187303.0,31667399.0
Serial,CG,DIC,95,1,0,uc2n367.localdomain,1,7f77c9fc7120a429567361194958406c,16.674187,127.282514,4504.0,135.0,938896.0,7838105.0,10985228.0,98567505.0
Serial,BiCGStab,DIC,95,1,0,uc2n367.localdomain,1,c6630a8bdb9d2ca509de3e318494096a,23.139817,162.606288,3163.0,135.0,918548.0,7671849.0,17234555.0,137232154.0
Serial,BiCGStab,NoPrecond,95,1,0,uc2n367.localdomain,1,8e40861d95cfc8be1486849f86b6e402,38.687037,330.040059,11498.0,135.0,922056.0,7769277.0,34021145.0,284190087.0
Serial,CG,NoPrecond,95,1,0,uc2n367.localdomain,1,f65bbfa446eb4c7140bd60caf4cb2679,24.194469,202.958924,14244.0,135.0,919876.0,7653103.0,18651821.0,167255690.0
Serial,CG,DIC,30,1,0,uc2n367.localdomain,1,1446a9bd4ba40f096ff5dbf6f25fd1e4,0.321126,1.480661,1277.0,135.0,22639.0,217923.0,83083.0,770733.0
