backend,executor,solver-p,solver-U,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,cuda,CG,BiCGStab,none,16,1,1.393839,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.402657,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.413903,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.400453,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.408849,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.397456,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.420187,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.406823,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.425113,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.419116,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.396698,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.398254,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.388682,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.422784,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.422234,1,1409
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.551806,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.549117,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.545267,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.559989,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.564755,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.543418,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.527956,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.567334,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.55318,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.538883,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.564455,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.550668,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.54492,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.554518,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.546079,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.554157,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.554036,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.54319,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.546748,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.545713,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.534654,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.566675,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.546138,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.570176,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.553618,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.548166,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.556974,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.551585,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.548495,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.563059,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.545768,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.544343,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.535413,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.532977,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.561498,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.551277,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.531022,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.566375,1,1059
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.566135,1,1059
GKO,cuda,CG,BiCGStab,none,32,1,2.957859,1,2926
GKO,cuda,CG,BiCGStab,none,32,1,2.93128,1,2926
GKO,cuda,CG,BiCGStab,none,32,1,2.891052,1,2926
GKO,cuda,CG,BiCGStab,none,32,1,2.942154,1,2926
GKO,cuda,CG,BiCGStab,none,32,1,2.89742,1,2926
GKO,cuda,CG,BiCGStab,none,32,1,2.917545,1,2926
GKO,cuda,CG,BiCGStab,none,32,1,2.940552,1,2926
GKO,cuda,CG,BiCGStab,none,32,1,2.879076,1,2926
GKO,cuda,CG,BiCGStab,none,32,1,2.951377,1,2926
GKO,cuda,CG,BiCGStab,none,32,1,2.916807,1,2926
GKO,cuda,CG,BiCGStab,none,32,1,2.912738,1,2926
GKO,cuda,CG,BiCGStab,none,32,1,2.941407,1,2926
