backend,executor,solver-p,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,cuda,BiCGStab,none,32,1,3.107395,1,2100
GKO,cuda,BiCGStab,none,32,1,3.107623,1,2100
GKO,cuda,BiCGStab,none,32,1,3.158686,1,2100
GKO,cuda,BiCGStab,none,32,1,3.23141,1,2100
GKO,cuda,BiCGStab,none,32,1,3.213985,1,2100
GKO,cuda,BiCGStab,none,32,1,3.237288,1,2100
GKO,cuda,BiCGStab,none,32,1,3.257642,1,2100
GKO,cuda,CG,none,64,1,25.124466,1,5980
GKO,cuda,CG,none,64,1,23.545604,1,5980
GKO,cuda,CG,none,64,1,23.396056,1,5980
GKO,cuda,CG,none,64,1,23.595094,1,5980
GKO,cuda,CG,none,64,1,23.888635,1,5980
GKO,cuda,BiCGStab,none,64,1,27.244891,1,4210
GKO,cuda,BiCGStab,none,64,1,27.061713,1,4210
GKO,cuda,BiCGStab,none,64,1,27.159681,1,4210
GKO,cuda,BiCGStab,none,64,1,27.057509,1,4210
GKO,cuda,BiCGStab,none,64,1,27.314936,1,4210
backend,executor,solver-p,solver-U,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,cuda,CG,BiCGStab,none,8,1,1.193452,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.156266,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.155709,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.159305,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.160305,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.154168,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.154337,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.158686,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.155239,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.156563,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.158302,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.154369,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.151189,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.165229,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.155179,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.154961,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.155484,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.153377,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.16323,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.156374,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.190643,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.155649,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.157029,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.156639,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.154969,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.150073,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.151894,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.152658,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.154208,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.155039,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.159351,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.157215,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.15138,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.152198,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.158829,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.153538,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.151284,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.152855,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.160667,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.151991,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.149988,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.150633,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.149528,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.147755,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.155385,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.150822,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.157918,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.152954,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.178621,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.158715,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.158776,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.152961,1,614
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.218365,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.218078,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.214179,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.21056,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.206185,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.206004,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.211066,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.211061,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.213105,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.212352,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.20748,1,425
