domain,executor,solver,preconditioner,number_of_iterations,resolution,processes,run_time,success
GKO,cuda,BiCGStab,BJ,0,8,1,1.261343,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.240375,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.248563,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.247393,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.237486,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.242621,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.246314,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.242344,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.235731,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.24232,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.236993,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.240531,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.248241,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.243537,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.236601,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.244986,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.236037,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.246425,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.236525,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.246427,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.240583,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.24562,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.251118,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.248552,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.252688,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.247693,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.239602,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.249788,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.254841,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.238105,1
GKO,cuda,BiCGStab,none,0,8,1,1.237248,1
GKO,cuda,BiCGStab,none,0,8,1,1.22244,1
GKO,cuda,BiCGStab,none,0,8,1,1.226432,1
GKO,cuda,BiCGStab,none,0,8,1,1.227384,1
GKO,cuda,BiCGStab,none,0,8,1,1.223752,1
GKO,cuda,BiCGStab,none,0,8,1,1.230411,1
GKO,cuda,BiCGStab,none,0,8,1,1.228501,1
GKO,cuda,BiCGStab,none,0,8,1,1.225399,1
GKO,cuda,BiCGStab,none,0,8,1,1.229074,1
GKO,cuda,BiCGStab,none,0,8,1,1.221253,1
GKO,cuda,BiCGStab,none,0,8,1,1.233746,1
GKO,cuda,BiCGStab,none,0,8,1,1.240003,1
GKO,cuda,BiCGStab,none,0,8,1,1.231182,1
GKO,cuda,BiCGStab,none,0,8,1,1.230668,1
GKO,cuda,BiCGStab,none,0,8,1,1.231301,1
GKO,cuda,BiCGStab,none,0,8,1,1.230473,1
GKO,cuda,BiCGStab,none,0,8,1,1.22844,1
GKO,cuda,BiCGStab,none,0,8,1,1.231975,1
