backend,executor,solver-p,solver-U,preconditioner,number_of_iterations,resolution,processes,run_time,success
GKO,cuda,CG,BiCGStab,none,0,16,1,1.380824,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.379703,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.38101,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.379409,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.374583,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.374036,1
GKO,cuda,CG,BiCGStab,none,0,16,1,1.377243,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.466208,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.461346,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.450755,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.454039,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.454673,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.452539,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.462299,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.459237,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.462461,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.463857,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.462877,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.456492,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.457099,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.455075,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.459116,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.463123,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.453138,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.459616,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.454936,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.456381,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.460143,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.457838,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.447611,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.454791,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.460052,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.464698,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.458655,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.453229,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.466122,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.463105,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.467374,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.459392,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.462126,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.455577,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.472545,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.461025,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.46346,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.455107,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.454034,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.451186,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.455066,1
GKO,cuda,BiCGStab,BiCGStab,none,0,16,1,1.454839,1
GKO,cuda,CG,BiCGStab,none,0,32,1,3.109431,1
GKO,cuda,CG,BiCGStab,none,0,32,1,3.090409,1
